fi;psi;G1;G2;T1;T2
0;0;0;0;0;0
2,034;4,269;0,355;0,353;1,355281293;1,356313193
4,067;8,556;0,358;0,351;1,358127256;1,362305863
6,101;12,881;0,363;0,346;1,362972224;1,37257182
8,134;17,265;0,370;0,339;1,369978966;1,387562774
10,168;21,734;0,379;0,329;1,379398033;1,407988737
12,201;26,317;0,392;0,316;1,391596483;1,434919888
14,235;31,051;0,407;0,299;1,407106322;1,469965049
16,269;35,989;0,427;0,277;1,426708477;1,515595885
18,302;41,202;0,452;0,249;1,451586832;1,575775224
20,336;46,800;0,484;0,210;1,483635997;1,657295749
22,369;52,968;0,526;0,155;1,52615885;1,77305162
24,403;60,069;0,586;0,069;1,58579106;1,951925149
26,436;69,046;0,680;-0,088;1,680112685;2,28281827
28,470;89,328;0,987;-0,946;1,987367523;4,081094913
